Current Time (ns), Interval (ns)
1780070273993563737, 1002823
1780070273994563957, 1000220
1780070273995564476, 1000519
1780070273996563994, 999518
1780070273997564513, 1000519
1780070273998563650, 999137
1780070273999561896, 998246
1780070274000563858, 1001962
1780070274001567132, 1003274
1780070274002566149, 999017
1780070274003565807, 999658
1780070274004566086, 1000279
1780070274005566876, 1000790
1780070274006566474, 999598
1780070274007558799, 992325
1780070274008561883, 1003084
1780070274009581668, 1019785
1780070274010570015, 988347
1780070274011573149, 1003134
1780070274012565975, 992826
1780070274013565452, 999477
1780070274014566814, 1001362
1780070274015566261, 999447
1780070274016565789, 999528
1780070274017565537, 999748
1780070274018565786, 1000249
1780070274019565835, 1000049
1780070274021208284, 1642449
1780070274021660028, 451744
1780070274022572843, 912815
1780070274023572291, 999448
1780070274024577622, 1005331
1780070274025566500, 988878
1780070274026568232, 1001732
1780070274027567679, 999447
1780070274028567558, 999879
1780070274029564280, 996722
1780070274030568457, 1004177
1780070274031567313, 998856
1780070274032566240, 998927
1780070274033566619, 1000379
1780070274034568822, 1002203
1780070274035568139, 999317
1780070274036566855, 998716
1780070274037566703, 999848
1780070274038566702, 999999
1780070274039566691, 999989
1780070274040567598, 1000907
1780070274041567516, 999918
1780070274042566574, 999058
1780070274043567073, 1000499
1780070274044566791, 999718
1780070274045567741, 1000950
1780070274046566798, 999057
1780070274047567748, 1000950
1780070274048568368, 1000620
1780070274049566914, 998546
1780070274050566722, 999808
1780070274051566390, 999668
1780070274052566820, 1000430
1780070274053566818, 999998
1780070274054565755, 998937
1780070274055566645, 1000890
1780070274056567055, 1000410
1780070274057567043, 999988
1780070274058567843, 1000800
1780070274059567541, 999698
1780070274060566127, 998586
1780070274061565304, 999177
1780070274062564611, 999307
1780070274063564359, 999748
1780070274064570610, 1006251
1780070274065568334, 997724
1780070274066604110, 1035776
1780070274067571688, 967578
1780070274068565284, 993596
1780070274069570065, 1004781
1780070274070574561, 1004496
1780070274071565954, 991393
1780070274073569495, 2003541
1780070274074792701, 1223206
1780070274075568921, 776220
1780070274076979727, 1410806
1780070274079378179, 2398452
1780070274080184456, 806277
1780070274081382585, 1198129
1780070274081655535, 272950
1780070274082954822, 1299287
1780070274086664945, 3710123
1780070274087824141, 1159196
1780070274095048480, 7224339
1780070274095303216, 254736
1780070274095434722, 131506
1780070274095725606, 290884
1780070274095981764, 256158
1780070274097152662, 1170898
1780070274097288626, 135964
1780070274104869241, 7580615
1780070274105006558, 137317
1780070274105139777, 133219
1780070274105261104, 121327
1780070274105792477, 531373
1780070274107237286, 1444809
1780070274107614100, 376814
1780070274109784466, 2170366
1780070274110318163, 533697
1780070274111024082, 705919
1780070274118787422, 7763340
1780070274118912455, 125033
1780070274119034994, 122539
1780070274119157002, 122008
1780070274119280583, 123581
1780070274119509761, 229178
1780070274119634605, 124844
1780070274119761983, 127378
1780070274119944444, 182461
1780070274120079857, 135413
1780070274121008041, 928184
1780070274121135599, 127558
1780070274121564431, 428832
1780070274122564770, 1000339
1780070274123569157, 1004387
1780070274125783895, 2214738
1780070274125909059, 125164
1780070274126567209, 658150
1780070274127861297, 1294088
1780070274128596451, 735154
1780070274129616777, 1020326
1780070274130848729, 1231952
1780070274131572692, 723963
1780070274132573171, 1000479
1780070274133573390, 1000219
1780070274134573208, 999818
1780070274135569971, 996763
1780070274136570851, 1000880
1780070274137573966, 1003115
1780070274138571229, 997263
1780070274139576408, 1005179
1780070274140632741, 1056333
1780070274141574020, 941279
1780070274142572045, 998025
1780070274143566673, 994628
1780070274144562444, 995771
1780070274145562493, 1000049
1780070274146563604, 1001111
1780070274147561939, 998335
1780070274148562669, 1000730
1780070274149561906, 999237
1780070274150564409, 1002503
1780070274151563987, 999578
1780070274152564156, 1000169
1780070274153564145, 999989
1780070274154564394, 1000249
1780070274155563140, 998746
1780070274156563590, 1000450
1780070274157563738, 1000148
1780070274158563507, 999769
1780070274159563645, 1000138
1780070274160563393, 999748
1780070274161561939, 998546
1780070274162561838, 999899
1780070274163563179, 1001341
1780070274164562797, 999618
1780070274165564017, 1001220
1780070274166563455, 999438
1780070274167563754, 1000299
1780070274168564254, 1000500
