Current Time (ns), Interval (ns)
1779882287573714865, 1008475
1779882287574718480, 1003615
1779882287575724086, 1005606
1779882287576712312, 988226
1779882287577721046, 1008734
1779882287578792888, 1071842
1779882287580064013, 1271125
1779882287580716020, 652007
1779882287581721088, 1005068
1779882287582708713, 987625
1779882287583709101, 1000388
1779882287584712143, 1003042
1779882287585725626, 1013483
1779882287586715956, 990330
1779882287587725834, 1009878
1779882287588709010, 983176
1779882287589718075, 1009065
1779882287590708745, 990670
1779882287591801875, 1093130
1779882287592719408, 917533
1779882287593719046, 999638
1779882287594709656, 990610
1779882287595706017, 996361
1779882287596703510, 997493
1779882287597714728, 1011218
1779882287598732078, 1017350
1779882287599710777, 978699
1779882287600719001, 1008224
1779882287601708519, 989518
1779882287602715037, 1006518
1779882287603718652, 1003615
1779882287604717798, 999146
1779882287605708879, 991081
1779882287606712403, 1003524
1779882287607720085, 1007682
1779882287608715905, 995820
1779882287609801182, 1085277
1779882287610715350, 914168
1779882287611736407, 1021057
1779882287612709985, 973578
1779882287613705154, 995169
1779882287614703889, 998735
1779882287615710910, 1007021
1779882287616720387, 1009477
1779882287617707641, 987254
1779882287618719369, 1011728
1779882287619706633, 987264
1779882287620716249, 1009616
1779882287621712439, 996190
1779882287622714401, 1001962
1779882287623834114, 1119713
1779882287624707705, 873591
1779882287625717349, 1009644
1779882287627037717, 1320368
1779882287627714660, 676943
1779882287628941603, 1226943
1779882287629901876, 960273
1779882287630707611, 805735
1779882287631732706, 1025095
1779882287632714830, 982124
1779882287633712964, 998134
1779882287634717020, 1004056
1779882287635726734, 1009714
1779882287636713316, 986582
1779882287637717091, 1003775
1779882287638716648, 999557
1779882287639714552, 997904
1779882287640709410, 994858
1779882287641707314, 997904
1779882287642713064, 1005750
1779882287643715785, 1002721
1779882287645836065, 2120280
1779882287647893670, 2057605
1779882287649115392, 1221722
1779882287649789110, 673718
1779882287651094689, 1305579
1779882287652711057, 1616368
1779882287652817636, 106579
1779882287654161937, 1344301
1779882287654740167, 578230
1779882287656528848, 1788681
1779882287656715076, 186228
1779882287657864150, 1149074
1779882287659421599, 1557449
1779882287659836594, 414995
1779882287661324804, 1488210
1779882287661749777, 424973
1779882287662746529, 996752
1779882287663886799, 1140270
1779882287664784375, 897576
1779882287665714883, 930508
1779882287666724048, 1009165
1779882287667750595, 1026547
1779882287668787492, 1036897
1779882287669796186, 1008694
1779882287670715814, 919628
1779882287671817621, 1101807
1779882287673478102, 1660481
1779882287673996631, 518529
1779882287674795824, 799193
1779882287676018649, 1222825
1779882287676713948, 695299
1779882287678460981, 1747033
1779882287678779195, 318214
1779882287679718620, 939425
1779882287680956391, 1237771
1779882287681988549, 1032158
1779882287682784155, 795606
1779882287684016076, 1231921
1779882287684764694, 748618
1779882287685711292, 946598
1779882287686771903, 1060611
1779882287687854435, 1082532
1779882287688731393, 876958
1779882287691027942, 2296549
1779882287692718508, 1690566
1779882287694293700, 1575192
1779882287694716951, 423251
1779882287695895161, 1178210
1779882287696869581, 974420
1779882287697858729, 989148
1779882287698714316, 855587
1779882287699724894, 1010578
1779882287700746823, 1021929
1779882287701822654, 1075831
1779882287702718517, 895863
1779882287703889482, 1170965
1779882287704732016, 842534
1779882287705732484, 1000468
1779882287706754974, 1022490
1779882287707754220, 999246
1779882287708917303, 1163083
1779882287710721362, 1804059
1779882287711760714, 1039352
1779882287712788934, 1028220
1779882287713727898, 938964
1779882287714726573, 998675
1779882287715891849, 1165276
1779882287716713384, 821535
1779882287717720615, 1007231
1779882287718713359, 992744
1779882287719751187, 1037828
1779882287720713885, 962698
1779882287721708433, 994548
1779882287722712350, 1003917
1779882287723703511, 991161
1779882287724708819, 1005308
1779882287725708616, 999797
1779882287726703324, 994708
1779882287727720383, 1017059
1779882287729049013, 1328630
1779882287729720809, 671796
1779882287730708584, 987775
1779882287731717288, 1008704
