Current Time (ns), Interval (ns)
1780296650658448062, 1000143
1780296650659449510, 1001448
1780296650660448996, 999486
1780296650661452752, 1003756
1780296650662449242, 996490
1780296650663451210, 1001968
1780296650664445561, 994351
1780296650665596262, 1150701
1780296650666431796, 835534
1780296650667400925, 969129
1780296650668438447, 1037522
1780296650669447344, 1008897
1780296650670422264, 974920
1780296650671438860, 1016596
1780296650672441415, 1002555
1780296650673438284, 996869
1780296650674447572, 1009288
1780296650675448172, 1000600
1780296650676461593, 1013421
1780296650677451847, 990254
1780296650678447811, 995964
1780296650679448513, 1000702
1780296650680445718, 997205
1780296650681448441, 1002723
1780296650682449212, 1000771
1780296650683450388, 1001176
1780296650684449090, 998702
1780296650685449699, 1000609
1780296650686449177, 999478
1780296650687448805, 999628
1780296650688447098, 998293
1780296650689444631, 997533
1780296650690446364, 1001733
1780296650691448293, 1001929
1780296650692450591, 1002298
1780296650693451361, 1000770
1780296650694445482, 994121
1780296650695448898, 1003416
1780296650696446433, 997535
1780296650697451138, 1004705
1780296650698446554, 995416
1780296650699448652, 1002098
1780296650700453892, 1005240
1780296650701445808, 991916
1780296650702448461, 1002653
1780296650703449117, 1000656
1780296650704447959, 998842
1780296650705448276, 1000317
1780296650706445574, 997298
1780296650707445809, 1000235
1780296650708451238, 1005429
1780296650709450858, 999620
1780296650710447968, 997110
1780296650711447037, 999069
1780296650712447010, 999973
1780296650713592416, 1145406
1780296650714445701, 853285
1780296650715452722, 1007021
1780296650716448157, 995435
1780296650717433832, 985675
1780296650718446546, 1012714
1780296650719448787, 1002241
1780296650720432867, 984080
1780296650721596913, 1164046
1780296650722446086, 849173
1780296650723448617, 1002531
1780296650724450930, 1002313
1780296650725450495, 999565
1780296650726446449, 995954
1780296650727450731, 1004282
1780296650728448472, 997741
1780296650729450273, 1001801
1780296650730448708, 998435
1780296650731452507, 1003799
1780296650732447055, 994548
1780296650733433805, 986750
1780296650734452534, 1018729
1780296650735446937, 994403
1780296650736428796, 981859
